	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
1	22720	23410	24130	24870	25640	26430	27250	28090	28960	29870	30800	31770	32770	33810	34880	35990	37130	38300	39500	40730	42000	43300	44630	46000	47400	48830	50300	51790	53320	54880	56470	58100	59750	61420	63130	64850	66600	68370	70150	71950	73760	75580	77400	79220	81050	82880	84700	86510	88320	90120	91920	93720	95510	97320	99150	101020	102940
2	45430	46820	48260	49750	51280	52860	54500	56190	57930	59730	61600	63540	65550	67620	69770	71980	74260	76600	79000	81470	84000	86600	89270	92000	94800	97660	100590	103590	106640	109770	112950	116190	119490	122850	126250	129710	133200	136740	140310	143900	147520	151150	154800	158450	162100	165750	169400	173030	176640	180250	183840	187430	191030	194640	198300	202030	205870
3	68150	70230	72390	74620	76920	79290	81750	84280	86890	89600	92400	95310	98320	101430	104650	107970	111380	114890	118500	122200	126000	129900	133900	138000	142200	146490	150890	155380	159970	164650	169420	174290	179240	184270	189380	194560	199810	205110	210460	215850	221280	226730	232200	237670	243150	248630	254090	259540	264960	270370	275760	281150	286540	291970	297450	303050	308810
4	90860	93640	96520	99490	102560	105730	109000	112370	115850	119460	123200	127080	131090	135240	139540	143960	148510	153190	158000	162940	168010	173200	178540	184000	189600	195330	201180	207170	213290	219530	225900	232380	238980	245690	252510	259410	266410	273480	280610	287800	295040	302300	309590	316900	324200	331510	338790	346050	353280	360490	367680	374860	382050	389290	396600	404060	411740
5	113580	117050	120650	124360	128190	132160	136250	140470	144820	149330	154000	158850	163860	169050	174420	179950	185640	191490	197500	203670	210010	216500	223170	230000	237000	244160	251480	258960	266610	274410	282370	290480	298730	307120	315630	324270	333010	341850	350760	359750	368790	377880	386990	396120	405250	414380	423490	432560	441610	450610	459600	468580	477570	486610	495750	505080	514680
6	136290	140460	144780	149240	153830	158590	163500	168560	173780	179190	184800	190610	196640	202860	209300	215940	222770	229790	237000	244410	252010	259810	267810	276000	284400	292990	301770	310760	319930	329300	338850	348570	358480	368540	378760	389120	399610	410220	420920	431700	442550	453460	464390	475350	486300	497260	508190	519080	529930	540740	551520	562290	573080	583930	594900	606090	617620
7	159010	163870	168910	174110	179470	185020	190750	196660	202740	209060	215600	222380	229410	236670	244190	251930	259890	268090	276500	285140	294010	303110	312440	322000	331790	341820	352070	362550	373250	384180	395320	406670	418220	429970	441890	453970	466210	478590	491070	503650	516310	529030	541790	554570	567350	580140	592890	605590	618250	630860	643440	656010	668590	681250	694050	707110	720550
8	181720	187280	193040	198980	205110	211450	218000	224750	231710	238920	246410	254150	262180	270490	279070	287920	297020	306390	316000	325870	336010	346410	357080	368000	379190	390650	402370	414340	426580	439060	451790	464770	477970	491390	505010	518830	532810	546960	561220	575610	590070	604610	619190	633800	648410	663010	677580	692100	706570	720980	735360	749720	764110	778570	793210	808120	823490
9	187450	193190	199150	205290	211620	218170	224930	231890	239090	246580	254340	262380	270700	279290	288150	297280	306660	316300	326200	336360	346790	357480	368440	379670	391160	402920	414950	427230	439770	452560	465600	478870	492370	506080	519990	534070	548320	562700	577190	591780	606440	621150	635880	650630	665340	680030	694670	709240	723740	738190	752610	767020	781480	796060	810870	826050	841820
10	193340	199280	205440	211780	218320	225070	232050	239250	246720	254490	262540	270870	279470	288350	297480	306890	316540	326460	336650	347100	357820	368800	380060	391580	403380	415450	427770	440360	453200	466290	479620	493180	506960	520950	535110	549440	563920	578520	593210	607980	622790	637640	652480	667320	682110	696850	711520	726110	740630	755100	769550	784020	798590	813330	828400	843970	860290
11	199400	205550	211910	218450	225200	232160	239380	246860	254610	262670	271010	279620	288510	297660	307060	316740	326670	336870	347350	358090	369100	380370	391930	403750	415840	428210	440830	453720	466850	480230	493840	507670	521720	535950	550350	564900	579590	594370	609220	624130	639070	654010	668940	683830	698650	713400	728080	742680	757210	771700	786190	800760	815470	830470	845910	862030	879170
12	205650	211990	218560	225300	232270	239470	246960	254720	262770	271110	279730	288630	297780	307210	316890	326840	337050	347540	358290	369330	380620	392190	404040	416150	428540	441200	454110	467280	480690	494350	508230	522310	536600	551060	565670	580410	595270	610200	625180	640190	655220	670220	685180	700080	714910	729650	744320	758910	773440	787970	802550	817260	832210	847580	863570	880510	898800
13	212080	218620	225380	232350	239560	247030	254800	262850	271190	279820	288720	297880	307300	317000	326960	337180	347680	358440	369480	380800	392380	404240	416380	428780	441460	454400	467590	481030	494720	508630	522750	537070	551570	566220	581020	595920	610900	625950	641020	656100	671170	686190	701150	716030	730830	745550	760190	774770	789330	803930	818650	833590	848920	864840	881650	899760	919720
14	218680	225430	232400	239610	247090	254850	262910	271240	279870	288780	297940	307370	317070	327030	337260	347760	358540	369590	380910	392510	404380	416520	428940	441630	454580	467790	481250	494950	508890	523030	537380	551900	566590	581410	596340	611360	626450	641560	656680	671790	686850	701850	716780	731620	746380	761050	775670	790260	804880	819610	834550	849860	865750	882500	900500	920310	942690
15	225460	232420	239630	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860
16	232420	239630	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000
17	239630	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000
18	247110	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000
19	254870	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000
20	262930	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000
21	271270	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000
22	279900	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000
23	288800	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
24	297970	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
25	307400	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
26	317100	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
27	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
28	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
29	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
30	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
31	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
32	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	
33	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000		
34	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000			
