# Ultimate Table	
#	
# 1986-92 Canadian Institute of Actuaries (CIA) - Male Smoker	
# Table: 2	
#	
# Basis: Age Nearest Birthday	
# Minimum Ultimate Age: 31	
# Maximum Ultimate Age: 105	
	0
31	0.00157
32	0.00168
33	0.00178
34	0.00185
35	0.00188
36	0.0019
37	0.00193
38	0.00199
39	0.00209
40	0.00224
41	0.00246
42	0.00273
43	0.00303
44	0.00338
45	0.00378
46	0.00424
47	0.00475
48	0.00534
49	0.00599
50	0.00672
51	0.00754
52	0.00846
53	0.00947
54	0.0106
55	0.01184
56	0.01321
57	0.01471
58	0.01636
59	0.01817
60	0.02014
61	0.02229
62	0.02463
63	0.02717
64	0.02991
65	0.03288
66	0.03609
67	0.03954
68	0.04325
69	0.04723
70	0.05149
71	0.05604
72	0.06091
73	0.06608
74	0.07159
75	0.07744
76	0.08365
77	0.09022
78	0.09716
79	0.1045
80	0.11223
81	0.12039
82	0.12897
83	0.13801
84	0.14751
85	0.15751
86	0.16802
87	0.17907
88	0.19071
89	0.20298
90	0.21592
91	0.22959
92	0.24406
93	0.2594
94	0.2757
95	0.29306
96	0.31158
97	0.33138
98	0.35257
99	0.37528
100	0.40179
101	0.44301
102	0.51177
103	0.62086
104	0.78319
105	1